ABP[mmHg],FV[cm/s],EtCO2[mmHg]
5.5081,-2.6749,0.2953
5.1278,-0.63407,-0.68796
-1.3818,-5.2749,-1.7107
-8.3169,-8.5589,-1.69
-12.458,-10.188,-1.7059
-11.894,-8.3263,-1.7043
-8.6118,-3.5531,-1.7036
-4.3299,0.40514,-1.7038
-2.2929,1.2647,-1.7035
-2.4825,-0.21054,-1.7034
-3.7479,-2.8324,-1.7032
-8.1005,-6.1744,-1.703
-15.076,-10.463,-1.7029
-18.331,-12.01,-1.7027
-15.605,-7.9403,-1.7025
-8.1048,-0.27766,-1.7024
1.2214,6.4513,-1.7022
7.3013,9.2306,-1.702
11.236,9.7941,-1.7019
12.041,6.6915,-1.7017
7.8844,0.90784,-1.7015
0.85704,-5.3056,-1.7014
-1.9894,-7.8285,-1.7012
-1.3992,-6.9828,-1.701
3.4228,-2.5772,-1.7008
7.406,0.99969,-1.7007
9.3661,2.346,-1.7005
9.7805,2.2639,-1.7003
6.9947,-0.46001,-1.7002
1.3286,-5.5961,-1.7
-5.4633,-10.301,-1.6998
-8.9782,-11.55,-1.6996
-8.3191,-9.6586,-1.6999
-4.7183,-5.4444,-1.6976
1.4061,-0.16,-1.7058
4.3504,1.3182,-1.6748
5.1514,1.8327,-1.7881
5.4867,1.0948,-1.2414
0.032756,-3.4284,-0.67299
-7.111,-8.8225,-0.70974
-8.509,-9.5523,-0.69514
-4.1819,-3.8072,-0.6988
5.0411,4.258,-0.69762
12.873,10.115,-0.69773
15.974,10.681,-0.69748
17.132,8.8973,-0.69733
14.127,5.4668,-0.69718
6.1943,-1.5384,-0.69698
-0.75403,-6.8042,-0.69682
-1.0919,-5.5806,-0.69681
3.4838,-0.72416,-0.69576
10.896,5.5419,-0.69964
11.725,6.2277,-0.68119
11.308,3.9388,-0.76455
8.2496,0.49248,-0.20802
-0.15392,-6.6444,0.27642
-7.3931,-11.485,0.30621
-9.9498,-11.659,0.30422
-6.9987,-8.2874,0.30496
-0.38056,-2.0494,0.30498
2.162,-0.21043,0.30519
4.6694,5.5893,0.30344
8.48,9.0879,0.3184
11.631,9.6287,0.70122
11.677,7.0206,1.2833
7.0094,2.7839,1.3322
-0.48729,-2.6669,1.2964
-3.1537,-5.2067,1.3108
-1.2985,-2.9445,1.3072
5.7096,2.6492,1.3065
11.944,6.7309,1.3136
11.449,6.4239,1.2832
8.8317,2.7095,0.92196
-0.011968,-4.6509,0.30173
-5.9216,-9.2612,0.29477
-8.6914,-9.6841,0.3155
2.0996,-1.4778,0.30668
6.1517,3.7249,0.30996
4.4192,5.3885,0.30913
2.7497,2.4498,0.3096
-2.3155,-2.1786,0.30968
-6.5614,-4.0413,0.30987
-6.5347,-3.0725,0.31003
-2.7968,1.4613,0.3102
2.0862,5.9718,0.31037
3.1002,6.6997,0.31054
2.0359,4.0256,0.3107
-0.20618,0.86031,0.31087
-4.7169,-3.4684,0.31104
-12.229,-7.4683,0.31119
-16.005,-8.0577,0.31146
-15.375,-6.73,0.31116
-6.0768,1.1146,0.31316
1.9003,9.6971,0.30637
5.4366,12.083,0.33368
5.8674,10.546,0.22394
1.0456,5.5939,0.78518
-5.4378,-0.1603,1.3375
-8.5363,-2.3784,1.3008
-7.5485,-0.19936,1.3162
-2.4708,4.5064,1.3113
3.7533,8.842,1.3165
6.4967,11.094,1.3038
7.7296,10.288,1.3385
7.0046,8.0303,1.7217
1.2947,1.763,2.2704
-5.3016,-3.9265,2.3393
-8.5161,-6.5464,2.3051
-7.895,-4.871,2.3172
-5.3438,-1.6951,2.3138
1.0416,3.5287,2.3149
6.4486,7.5479,2.3148
7.3299,6.6812,2.3151
8.0295,4.7026,2.3152
5.5725,1.147,2.3154
-2.1148,-4.707,2.3155
-9.1341,-9.0596,2.3157
-9.4555,-8.4119,2.316
-4.6859,-2.2336,2.3156
6.9872,7.1924,2.3181
12.974,11.452,2.3096
17.132,11.905,2.3459
19.505,11.74,1.8276
14.133,6.7221,1.3774
7.3843,1.0999,1.3
4.5188,-0.67239,1.3221
4.6793,-0.028282,1.3161
10.357,4.6395,1.3179
16.589,9.1249,1.3176
17.186,8.0719,1.3179
16.396,5.5863,1.3181
11.792,0.61479,1.3182
2.0445,-6.0074,1.3184
-5.5609,-10.776,1.3184
-7.7725,-9.4435,1.3193
-5.7316,-5.476,1.3169
1.0558,0.67567,1.3262
6.7902,4.4404,1.2934
8.7817,6.2984,1.4121
8.9234,5.7352,0.90145
3.0196,0.88403,0.24687
-5.4723,-3.929,0.34168
-7.5502,-5.2811,0.31434
-4.5126,-0.75581,0.32173
3.4875,7.0406,0.32002
12.347,14.822,0.32069
15.093,16.544,0.32072
16.297,15.508,0.32092
13.825,10.62,0.32108
6.402,4.6568,0.32125
-0.6026,-0.93316,0.32142
-4.3455,-3.0144,0.32158
-1.8311,-0.26183,0.32175
4.8543,5.0096,0.32192
9.1701,9.1578,0.32209
11.12,9.7694,0.32225
11.399,7.4246,0.32242
7.8196,3.4287,0.32259
-1.9887,-1.9293,0.32276
-7.918,-6.147,0.32292
-9.5222,-5.8639,0.32309
-3.6202,0.19682,0.32326
3.634,6.2837,0.32343
6.6156,8.8883,0.32359
9.1076,9.5495,0.32376
6.393,6.258,0.32393
-2.8465,-0.35647,0.3241
-8.1722,-4.39,0.32426
-9.1928,-5.608,0.32443
-1.7229,1.1728,0.3246
5.5946,6.7529,0.32476
8.381,8.0156,0.32493
8.7133,5.717,0.3251
2.9724,-0.031146,0.32527
-5.4612,-6.0185,0.32543
-10.508,-8.9524,0.3256
-10.052,-7.6921,0.32577
-3.9158,-2.0888,0.32594
2.3778,4.4086,0.3261
6.568,8.1985,0.32627
8.5273,9.0025,0.32644
6.0813,6.6151,0.3266
-1.1231,1.0367,0.32681
-6.3524,-2.4717,0.3268
-6.8207,-2.0644,0.32759
-3.0118,2.6338,0.3257
4.152,9.8907,0.33257
10.094,14.541,0.31142
11.733,15.041,0.37082
9.5868,11.575,0.76981
2.5671,4.6049,1.2508
-4.0732,-1.2188,1.3628
-7.7574,-3.3451,1.3172
-7.0554,-1.3697,1.3334
-2.239,2.8585,1.3227
1.7482,5.4562,1.3409
1.9851,5.0599,1.323
1.1714,2.9566,0.8536
-3.9227,-1.9562,0.41341
-11.989,-7.055,0.30389
-17.682,-9.8346,0.33704
-19.101,-8.8282,0.32777
-14.839,-3.2333,0.33164
-5.4944,4.0514,0.32749
-3.0279,7.7889,0.33538
-1.1691,7.4568,0.33388
-2.7846,5.0751,-0.12053
-10.4,-0.79637,-0.61568
-16.201,-5.3032,-0.68729
-17.241,-5.175,-0.66279
-13.815,-0.8174,-0.67027
-2.9574,6.9542,-0.66789
5.4223,12.873,-0.66834
10.506,13.615,-0.66799
12.987,10.704,-0.66789
9.5321,4.8893,-0.6677
4.1076,-1.9906,-0.66753
1.2822,-5.5779,-0.66737
1.0811,-5.66,-0.6672
8.8199,-0.078418,-0.66703
18.026,5.9618,-0.66687
20.696,6.7578,-0.6667
19.285,3.9644,-0.66653
15.678,-0.044888,-0.66636
5.444,-6.3628,-0.6662
-3.5945,-10.101,-0.66603
-8.0988,-10.597,-0.66586
-6.0307,-7.9336,-0.66569
3.2157,-0.93527,-0.66553
5.9523,2.5487,-0.66536
6.3978,2.0004,-0.66519
1.6767,-1.5796,-0.66502
-8.9184,-8.2416,-0.66486
-15.088,-12.455,-0.66469
-15.897,-11.022,-0.66452
-10.918,-4.9589,-0.66435
-1.8731,1.5096,-0.66419
3.3866,5.9756,-0.66402
5.0304,7.6931,-0.66385
3.2793,3.9544,-0.66368
-4.8759,-2.6722,-0.66352
-13.18,-7.7507,-0.66335
-15.754,-8.3281,-0.66318
-14.057,-4.3391,-0.66301
-6.0788,2.9805,-0.66285
1.7912,8.5953,-0.66268
5.4424,11.138,-0.66251
6.7166,10.723,-0.66235
4.8163,6.949,-0.66218
-1.4806,1.1907,-0.66201
-8.7774,-3.8171,-0.66184
-12.068,-6.1991,-0.66168
-11.667,-4.199,-0.66151
-6.2487,0.26224,-0.66134
2.9183,6.5357,-0.66117
9.0934,10.279,-0.66101
